pkg_name,name,version,line_count,package_count,created_at
hello,lijunchen/hello,0.1.0,24,2,2024-06-17T07:46:24.641140
hello16,lijunchen/hello16,0.1.0,15,2,2024-01-01T00:00:00
hello18,lijunchen/hello18,0.1.35,19,2,2025-03-12T06:45:06.740849
hello19,lijunchen/hello19,0.1.2,17,2,2024-07-31T08:42:29.245421
hello2,lijunchen/hello2,0.1.0,18,1,2024-06-17T08:09:36.743017
hello23,lijunchen/hello23,0.1.2,15,2,2024-01-01T00:00:01
hello24,lijunchen/hello24,0.1.0,14,2,2024-01-01T00:00:00
mooncake,lijunchen/mooncake,0.1.0,16,2,2024-01-01T00:00:00
test_esp32,lijunchen/test_esp32,0.1.9,214,4,2025-04-14T03:49:27.793421
test_postadd,lijunchen/test_postadd,0.1.0,20,1,2025-04-09T07:46:45.840608
test_postadd2,lijunchen/test_postadd2,0.1.1,25,1,2025-04-15T08:04:05.047942
unstable_io,lijunchen/unstable_io,0.1.3,357,7,2024-07-04T08:00:41.577085
advent_of_code,peter-jerry-ye/advent_of_code,0.3.1-fix,254,2,2024-01-26T08:48:45.349484
assertion,peter-jerry-ye/assertion,0.2.1,283,1,2024-01-01T00:00:01
async,peter-jerry-ye/async,0.2.1,938,4,2025-11-05T06:22:21.603770
canvas,peter-jerry-ye/canvas,0.7.0,1217,5,2025-02-27T10:12:11.219756
codex,peter-jerry-ye/codex,0.129.0,32279,29,2026-06-11T07:49:52.261112
hn-brief,peter-jerry-ye/hn-brief,0.1.1,505,1,2026-07-03T09:28:26.779051
io,peter-jerry-ye/io,0.3.4,601,2,2025-10-14T06:10:31.485688
json,peter-jerry-ye/json,0.4.0,374,1,2024-09-04T02:39:51.114591
mcp-server,peter-jerry-ye/mcp-server,0.3.5,1014,3,2025-06-18T05:10:04.184981
md-outline,peter-jerry-ye/md-outline,0.2.1,698,1,2026-06-12T08:09:41.420586
memory,peter-jerry-ye/memory,0.8.4,589,1,2024-11-25T08:44:51.346515
parse_args,peter-jerry-ye/parse_args,0.1.2,545,1,2026-05-28T07:16:41.999183
parser-combinator,peter-jerry-ye/parser-combinator,0.9.1,593,1,2024-09-04T02:21:08.851501
spin-imports,peter-jerry-ye/spin-imports,0.1.3,2852,10,2025-03-25T06:57:19.247647
utils,peter-jerry-ye/utils,0.4.3,1942,5,2025-11-13T08:29:20.667840
wasi,peter-jerry-ye/wasi,0.25.0,6855,15,2026-05-22T10:30:46.500444
wasi-imports,peter-jerry-ye/wasi-imports,0.1.5,9056,30,2025-09-19T05:34:48.286005
bap,bobzhang/bap,0.2.2,158641,23,2026-06-14T08:20:33.445467
beautiful_mermaid,bobzhang/beautiful_mermaid,0.1.5,33558,41,2026-02-13T00:24:32.592691
blog-app,bobzhang/blog-app,0.3.2,2342,4,2026-04-04T13:28:52.101464
codex_workflow,bobzhang/codex_workflow,0.1.1,3305,3,2026-04-19T14:59:20.072115
colors,bobzhang/colors,0.8.1,2049,2,2026-04-18T15:10:09.048990
compose-demo,bobzhang/compose-demo,0.1.0,1540,8,2026-04-04T13:27:44.520834
contacts,bobzhang/contacts,0.3.2,1655,4,2026-04-04T13:28:53.834225
crescent,bobzhang/crescent,0.10.0,23411,23,2026-04-25T10:49:07.422266
crescent-benchmarks,bobzhang/crescent-benchmarks,0.0.1,122,4,2026-04-09T15:48:34.164048
crescent-examples,bobzhang/crescent-examples,0.0.1,377,7,2026-04-09T15:48:27.673572
docx2html,bobzhang/docx2html,0.1.43,44919,18,2026-07-12T06:52:41.162639
finapp,bobzhang/finapp,0.1.0,2463,4,2026-04-04T13:27:46.326636
flowgraph,bobzhang/flowgraph,0.1.1,1085,1,2026-04-18T15:09:55.235835
fuzzyscore,bobzhang/fuzzyscore,0.1.1,898,2,2026-04-18T15:10:12.479821
gallery,bobzhang/gallery,0.2.2,8878,2,2026-04-04T13:28:55.655877
games,bobzhang/games,0.9.33,664414,920,2026-04-01T02:44:05.023140
hol,bobzhang/hol,0.1.1,4609,6,2026-04-18T15:10:15.933529
holm,bobzhang/holm,0.1.1,9430,12,2026-02-20T02:26:10.695766
html_parser,bobzhang/html_parser,0.1.7,50077,18,2026-05-21T03:42:56.447948
html_parser_examples,bobzhang/html_parser_examples,0.1.0,216,2,2026-05-21T03:43:22.933298
ipaddr,bobzhang/ipaddr,0.1.1,2023,1,2026-04-18T15:10:19.510122
issues,bobzhang/issues,0.1.5,43389,11,2026-05-22T02:26:37.948232
jsonl,bobzhang/jsonl,0.2.0,287,1,2026-06-02T09:08:42.613926
kanban,bobzhang/kanban,0.3.2,3820,4,2026-04-04T13:28:57.586356
kimicc,bobzhang/kimicc,0.1.243,129685,12,2026-06-04T03:58:03.955236
lexer,bobzhang/lexer,0.2.0,622,1,2026-06-07T00:15:49.746111
liquid,bobzhang/liquid,0.1.0,3145,2,2025-08-21T08:26:53.835962
lisp_interpreter,bobzhang/lisp_interpreter,0.1.1,1753,1,2026-04-19T14:59:35.388067
loop_invariants,bobzhang/loop_invariants,0.8.0,146984,214,2026-05-14T00:43:50.745213
loop_invariants_data_structures,bobzhang/loop_invariants_data_structures,0.11.0,30965,39,2026-06-04T01:16:29.705872
loop_invariants_dp,bobzhang/loop_invariants_dp,0.14.0,8251,24,2026-06-04T01:16:36.910902
loop_invariants_geometry,bobzhang/loop_invariants_geometry,0.13.0,8634,17,2026-06-04T01:16:43.733985
loop_invariants_graph,bobzhang/loop_invariants_graph,0.17.0,42370,67,2026-06-04T01:16:52.693758
loop_invariants_math,bobzhang/loop_invariants_math,0.16.0,22100,40,2026-06-04T01:17:02.244707
loop_invariants_persistent,bobzhang/loop_invariants_persistent,0.8.0,17908,44,2026-05-14T00:44:08.643018
loop_invariants_string,bobzhang/loop_invariants_string,0.14.0,21697,29,2026-06-04T01:17:11.066356
loop_invariants_techniques,bobzhang/loop_invariants_techniques,0.17.0,20283,35,2026-06-04T01:17:17.867885
loop_invariants_verified,bobzhang/loop_invariants_verified,0.8.0,1499,7,2026-05-14T00:44:14.114561
mbtexcel,bobzhang/mbtexcel,0.1.8,547519,81,2026-07-12T06:51:54.155719
mbtpdf,bobzhang/mbtpdf,0.1.2,82073,50,2026-01-28T14:09:21.559981
moonjq,bobzhang/moonjq,0.1.0,10898,3,2025-12-14T10:10:13.226345
nodegraph,bobzhang/nodegraph,0.1.0,3556,4,2026-04-04T13:27:48.198273
noteapp,bobzhang/noteapp,0.3.2,1582,4,2026-04-04T13:28:59.319728
openseek,bobzhang/openseek,0.2.2,73072,80,2026-07-05T14:14:50.537822
pdflite,bobzhang/pdflite,0.1.41,357336,50,2026-07-12T06:53:13.461741
pollapp,bobzhang/pollapp,0.3.2,1586,4,2026-04-04T13:29:01.010690
portable_cli,bobzhang/portable_cli,0.1.11,10365,15,2026-06-03T14:29:53.911616
prove,bobzhang/prove,0.0.2,3164,84,2026-03-17T06:33:22.282546
